GOID,transcript,p.value,geneID,chr,start,end,meth.diff,GOSlim,product,SEcluster
GO:0002165,XM_034482479.1,0.00298,105331446,NC_047564.1,26783579,26783581,65.3896713615023,developmental processes,helicase domino, transcript variant X1,2
GO:0002165,XM_034482479.1,0.00298,105331446,NC_047564.1,26693493,26693495,59.066100667071,developmental processes,helicase domino, transcript variant X1,2
GO:0002165,XM_034482480.1,0.00298,105331446,NC_047564.1,26781458,26781460,52.1683673469388,developmental processes,helicase domino, transcript variant X2,2
GO:0002165,XM_034482480.1,0.00298,105331446,NC_047564.1,26693493,26693495,59.066100667071,developmental processes,helicase domino, transcript variant X2,2
GO:0002165,XM_034482479.1,0.00298,105331446,NC_047564.1,26781458,26781460,52.1683673469388,developmental processes,helicase domino, transcript variant X1,2
GO:0002165,XM_034482479.1,0.00298,105331446,NC_047564.1,26781172,26781174,61.411479630471,developmental processes,helicase domino, transcript variant X1,2
GO:0002165,XM_034482480.1,0.00298,105331446,NC_047564.1,26783579,26783581,65.3896713615023,developmental processes,helicase domino, transcript variant X2,2
GO:0002165,XM_034482481.1,0.00298,105331446,NC_047564.1,26782469,26782471,62.6101987899741,developmental processes,helicase domino, transcript variant X3,2
GO:0002165,XM_034482480.1,0.00298,105331446,NC_047564.1,26781172,26781174,61.411479630471,developmental processes,helicase domino, transcript variant X2,2
GO:0002165,XM_034482480.1,0.00298,105331446,NC_047564.1,26782469,26782471,62.6101987899741,developmental processes,helicase domino, transcript variant X2,2
GO:0002165,XM_034482479.1,0.00298,105331446,NC_047564.1,26782469,26782471,62.6101987899741,developmental processes,helicase domino, transcript variant X1,2
GO:0002165,XM_034482481.1,0.00298,105331446,NC_047564.1,26693493,26693495,59.066100667071,developmental processes,helicase domino, transcript variant X3,2
GO:0002165,XM_034482482.1,0.00298,105331446,NC_047564.1,26782469,26782471,62.6101987899741,developmental processes,helicase domino, transcript variant X4,2
GO:0002165,XM_034482482.1,0.00298,105331446,NC_047564.1,26693493,26693495,59.066100667071,developmental processes,helicase domino, transcript variant X4,2
