GOID,p.value,transcript,geneID,chr,start,end,meth.diff,GOterm,GOSlim
GO:0004385,0.00422,XM_034473828.1,105344231,NC_047562.1,26776374,26776376,-56.0606060606061,guanylate kinase activity,kinase activity
GO:0004385,0.00422,XM_034473836.1,105344231,NC_047562.1,26776374,26776376,-56.0606060606061,guanylate kinase activity,kinase activity
GO:0004385,0.00422,XM_034473826.1,105344231,NC_047562.1,26776374,26776376,-56.0606060606061,guanylate kinase activity,kinase activity
GO:0004385,0.00422,XM_034473833.1,105344231,NC_047562.1,26776374,26776376,-56.0606060606061,guanylate kinase activity,kinase activity
GO:0004385,0.00422,XM_034473827.1,105344231,NC_047562.1,26776374,26776376,-56.0606060606061,guanylate kinase activity,kinase activity
GO:0004385,0.00422,XM_034473825.1,105344231,NC_047562.1,26776374,26776376,-56.0606060606061,guanylate kinase activity,kinase activity
GO:0008139,0.00158,XM_034463636.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,nuclear localization sequence binding,other molecular function
GO:0008139,0.00158,XM_034463634.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,nuclear localization sequence binding,other molecular function
GO:0008139,0.00158,XM_034463635.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,nuclear localization sequence binding,other molecular function
GO:0008139,0.00158,XM_034463632.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,nuclear localization sequence binding,other molecular function
GO:0008139,0.00158,XM_034463633.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,nuclear localization sequence binding,other molecular function
GO:0017022,0.00503,XM_020065815.2,105325026,NC_047565.1,56434322,56434324,53.9572192513369,myosin binding,cytoskeletal activity
GO:0017022,0.00503,XM_034471377.1,105328090,NC_047562.1,11117737,11117739,62.8499440089586,myosin binding,cytoskeletal activity
GO:0017022,0.00503,XM_020065815.2,105325026,NC_047565.1,56434658,56434660,50.4477359765713,myosin binding,cytoskeletal activity
GO:0017022,0.00503,XM_034471381.1,105328090,NC_047562.1,11117737,11117739,62.8499440089586,myosin binding,cytoskeletal activity
GO:0017022,0.00503,XM_034471379.1,105328090,NC_047562.1,11117737,11117739,62.8499440089586,myosin binding,cytoskeletal activity
GO:0017022,0.00503,XM_034471378.1,105328090,NC_047562.1,11117737,11117739,62.8499440089586,myosin binding,cytoskeletal activity
GO:0017056,0.00879,XM_034463632.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,structural constituent of nuclear pore,other molecular function
GO:0017056,0.00879,XM_034463633.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,structural constituent of nuclear pore,other molecular function
GO:0017056,0.00879,XM_034463636.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,structural constituent of nuclear pore,other molecular function
GO:0017056,0.00879,XM_011438261.3,105334708,NC_047564.1,9727631,9727633,54.3285238623751,structural constituent of nuclear pore,other molecular function
GO:0017056,0.00879,XM_034463635.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,structural constituent of nuclear pore,other molecular function
GO:0017056,0.00879,XM_034463634.1,105344104,NC_047560.1,50578537,50578539,70.9090909090909,structural constituent of nuclear pore,other molecular function
GO:0017056,0.00879,XM_011438260.3,105334708,NC_047564.1,9727631,9727633,54.3285238623751,structural constituent of nuclear pore,other molecular function
GO:0017160,0.00166,XM_034463851.1,105342928,NC_047560.1,5616946,5616948,50.1010101010101,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463852.1,105342928,NC_047560.1,5613501,5613503,50.5602240896359,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463856.1,105342928,NC_047560.1,5620390,5620392,50.6463158517467,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034471520.1,105327305,NC_047562.1,38743919,38743921,53.3189052954552,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463855.1,105342928,NC_047560.1,5612964,5612966,51.783723522854,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463852.1,105342928,NC_047560.1,5612964,5612966,51.783723522854,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463857.1,105342928,NC_047560.1,5616168,5616170,61.0778443113772,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463854.1,105342928,NC_047560.1,5612964,5612966,51.783723522854,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463856.1,105342928,NC_047560.1,5620609,5620611,52.4831660366968,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463853.1,105342928,NC_047560.1,5615984,5615986,52.7272727272727,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463853.1,105342928,NC_047560.1,5616168,5616170,61.0778443113772,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463853.1,105342928,NC_047560.1,5620390,5620392,50.6463158517467,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463854.1,105342928,NC_047560.1,5620609,5620611,52.4831660366968,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463853.1,105342928,NC_047560.1,5614019,5614021,50.4831252889505,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463854.1,105342928,NC_047560.1,5614019,5614021,50.4831252889505,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463853.1,105342928,NC_047560.1,5616946,5616948,50.1010101010101,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463856.1,105342928,NC_047560.1,5615984,5615986,52.7272727272727,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463852.1,105342928,NC_047560.1,5616946,5616948,50.1010101010101,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463851.1,105342928,NC_047560.1,5612964,5612966,51.783723522854,Ral GTPase binding,other molecular function
GO:0017160,0.00166,XM_034463854.1,105342928,NC_047560.1,5615984,5615986,52.7272727272727,Ral GTPase binding,other molecular function
