A0JP70	XM_022463201.1
A1A4L0	XM_022450815.1
A1E2V0	XM_022487297.1
A1E2V0	XM_022487293.1
A1E2V0	XM_022487296.1
A1E2V0	XM_022487295.1
A1E2V0	XM_022487294.1
A1E2V0	XM_022487298.1
A1L253	XM_022458464.1
A1L253	XM_022458466.1
A1L253	XM_022458461.1
A1L253	XM_022458460.1
A1L253	XM_022458469.1
A1L253	XM_022458462.1
A1L253	XM_022458463.1
A1L253	XM_022458468.1
A1L253	XM_022458470.1
A1L253	XM_022458467.1
A1Z9A8	XM_022486980.1
A1Z9A8	XM_022486979.1
A2A559	XM_022450118.1
A2A559	XM_022450118.1
A2A559	XM_022450118.1
A2A559	XM_022450118.1
A2A891	XM_022485152.1
A2A891	XM_022485158.1
A2A891	XM_022485157.1
A2A891	XM_022485152.1
A2A891	XM_022485158.1
A2A891	XM_022485157.1
A2A891	XM_022485159.1
A2A891	XM_022485155.1
A2A891	XM_022485159.1
A2A891	XM_022485152.1
A2A891	XM_022485155.1
A2A891	XM_022485158.1
A2A891	XM_022485157.1
A2A891	XM_022485159.1
A2A891	XM_022485160.1
A2A891	XM_022485154.1
A2A891	XM_022485160.1
A2A891	XM_022485153.1
A2A891	XM_022485154.1
A2A891	XM_022485160.1
A2A891	XM_022485154.1
A2A891	XM_022485155.1
A2A891	XM_022485153.1
A2A891	XM_022485153.1
A2AHJ4	XM_022436597.1
A2AHJ4	XM_022436599.1
A2AHJ4	XM_022436597.1
A2AHJ4	XM_022436599.1
A2AIV8	XM_022459926.1
A2AIV8	XM_022459921.1
A2AIV8	XM_022459924.1
A2AIV8	XM_022459925.1
A2AIV8	XM_022459920.1
A2AIV8	XM_022459922.1
A2ASS6	XM_022468988.1
A2ASS6	XM_022468990.1
A2ASS6	XM_022469031.1
A2ASS6	XM_022469026.1
A2ASS6	XM_022469027.1
A2ASS6	XM_022469028.1
A2ASS6	XM_022468986.1
A2ASS6	XM_022468991.1
A2ASS6	XM_022468993.1
A2ASS6	XM_022468994.1
A2ASS6	XM_022468995.1
A2ASS6	XM_022468998.1
A2ASS6	XM_022468999.1
A2ASS6	XM_022469000.1
A2ASS6	XM_022469004.1
A2ASS6	XM_022469005.1
A2ASS6	XM_022469006.1
A2ASS6	XM_022469007.1
A2ASS6	XM_022469008.1
A2ASS6	XM_022469011.1
A2ASS6	XM_022469014.1
A2ASS6	XM_022469015.1
A2ASS6	XM_022469016.1
A2ASS6	XM_022469022.1
A2ASS6	XM_022468992.1
A2ASS6	XM_022468996.1
A2ASS6	XM_022468997.1
A2ASS6	XM_022469001.1
A2ASS6	XM_022469002.1
A2ASS6	XM_022469009.1
A2ASS6	XM_022469010.1
A2ASS6	XM_022469012.1
A2ASS6	XM_022469013.1
A2ASS6	XM_022469021.1
A2ASS6	XM_022468989.1
A2ASS6	XM_022468988.1
A2ASS6	XM_022468990.1
A2ASS6	XM_022469031.1
A2ASS6	XM_022469026.1
A2ASS6	XM_022469027.1
A2ASS6	XM_022469028.1
A2ASS6	XM_022468986.1
A2ASS6	XM_022468991.1
A2ASS6	XM_022468993.1
A2ASS6	XM_022468994.1
A2ASS6	XM_022468995.1
A2ASS6	XM_022468998.1
A2ASS6	XM_022468999.1
A2ASS6	XM_022469000.1
A2ASS6	XM_022469004.1
A2ASS6	XM_022469005.1
A2ASS6	XM_022469006.1
A2ASS6	XM_022469007.1
A2ASS6	XM_022469008.1
A2ASS6	XM_022469011.1
A2ASS6	XM_022469014.1
A2ASS6	XM_022469015.1
A2ASS6	XM_022469016.1
A2ASS6	XM_022469022.1
A2ASS6	XM_022468992.1
A2ASS6	XM_022468996.1
A2ASS6	XM_022468997.1
A2ASS6	XM_022469001.1
A2ASS6	XM_022469002.1
A2ASS6	XM_022469009.1
A2ASS6	XM_022469010.1
A2ASS6	XM_022469012.1
A2ASS6	XM_022469013.1
A2ASS6	XM_022469021.1
A2ASS6	XM_022468989.1
A2ASS6	XM_022469622.1
A2ASS6	XM_022469624.1
A2ASS6	XM_022469625.1
A2ASS6	XM_022469626.1
A2ASS6	XM_022469627.1
A2ASS6	XM_022468988.1
A2ASS6	XM_022468990.1
A2ASS6	XM_022469031.1
A2ASS6	XM_022469026.1
A2ASS6	XM_022469027.1
A2ASS6	XM_022469028.1
A2ASS6	XM_022469030.1
A2ASS6	XM_022468986.1
A2ASS6	XM_022468991.1
A2ASS6	XM_022468993.1
A2ASS6	XM_022468994.1
A2ASS6	XM_022468995.1
A2ASS6	XM_022468998.1
A2ASS6	XM_022468999.1
A2ASS6	XM_022469000.1
A2ASS6	XM_022469004.1
A2ASS6	XM_022469005.1
A2ASS6	XM_022469006.1
A2ASS6	XM_022469007.1
A2ASS6	XM_022469008.1
A2ASS6	XM_022469011.1
A2ASS6	XM_022469014.1
A2ASS6	XM_022469015.1
A2ASS6	XM_022469016.1
A2ASS6	XM_022469022.1
A2ASS6	XM_022468992.1
A2ASS6	XM_022468996.1
A2ASS6	XM_022468997.1
A2ASS6	XM_022469001.1
A2ASS6	XM_022469002.1
A2ASS6	XM_022469009.1
A2ASS6	XM_022469010.1
A2ASS6	XM_022469012.1
A2ASS6	XM_022469013.1
A2ASS6	XM_022469021.1
A2ASS6	XM_022468989.1
A2ASS6	XM_022468988.1
A2ASS6	XM_022468990.1
A2ASS6	XM_022469031.1
A2ASS6	XM_022469026.1
A2ASS6	XM_022469027.1
A2ASS6	XM_022469028.1
A2ASS6	XM_022469030.1
A2ASS6	XM_022468986.1
A2ASS6	XM_022468991.1
A2ASS6	XM_022468993.1
A2ASS6	XM_022468994.1
A2ASS6	XM_022468995.1
A2ASS6	XM_022468998.1
