A0NGI1	CGI_10010648
A1L2Y1	CGI_10019566
A2AHJ4	CGI_10020687
A2AWP0	CGI_10026569
A2BGR3	CGI_10025557
A4D0V7	CGI_10020074
A4IF87	CGI_10011812
A6NHR9	CGI_10013732
A6QQ68	CGI_10009117
A6QQP7	CGI_10024760
A6QR44	CGI_10006425
A7YWD2	CGI_10003141
A8MTY0	CGI_10024210
B0S5N4	CGI_10010795
B0S733	CGI_10001930
B0W2S0	CGI_10014051
B1H1P9	CGI_10006634
B4U7S7	CGI_10005632
B5FZ19	CGI_10025943
B5X2B8	CGI_10005915
E1B7X9	CGI_10025169
E1C1R4	CGI_10004725
E1C2Z0	CGI_10024637
F8WLE0	CGI_10018571
O00410	CGI_10013799
O08550	CGI_10008103
O08839	CGI_10012930
O14832	CGI_10008109
O14981	CGI_10003467
O15027	CGI_10027751
O15182	CGI_10026181
O15400	CGI_10025330
O29230	CGI_10006664
O35134	CGI_10014460
O43826	CGI_10004606
O43913	CGI_10010442
O46037	CGI_10014632
O54701	CGI_10009078
O60306	CGI_10006403
O60504	CGI_10021679
O61577	CGI_10016028
O75096	CGI_10026155
O75165	CGI_10021563
O75417	CGI_10013103
O75445	CGI_10014850
O75533	CGI_10007640
O75596	CGI_10024415
O75643	CGI_10018964
O75665	CGI_10010882
O75891	CGI_10014314
O88974	CGI_10026622
O94913	CGI_10027261
P00491	CGI_10017694
P04183	CGI_10024169
P05455	CGI_10005904
P07207	CGI_10022703
P08183	CGI_10015978
P09487	CGI_10014131
P09623	CGI_10028528
P0C8Z3	CGI_10005033
P10076	CGI_10015140
P10351	CGI_10012473
P11087	CGI_10019649
P11276	CGI_10001789
P13395	CGI_10025721
P13666	CGI_10008403
P13667	CGI_10019057
P17439	CGI_10005801
P22292	CGI_10007140
P22793	CGI_10023442
P23634	CGI_10023684
P23913	CGI_10025955
P24928	CGI_10021948
P25228	CGI_10021960
P27600	CGI_10020412
P28271	CGI_10001851
P34056	CGI_10019880
P35285	CGI_10020438
P35398	CGI_10007708
P35626	CGI_10010914
P38942	CGI_10010890
P42573	CGI_10023240
P42765	CGI_10002160
P42859	CGI_10028915
P47989	CGI_10013781
P49139	CGI_10003308
P49815	CGI_10016453
P50429	CGI_10004766
P51947	CGI_10006326
P52590	CGI_10006924
P53007	CGI_10002774
P55210	CGI_10023427
P60924	CGI_10013666
P62597	CGI_10004647
P70207	CGI_10003458
P84798	CGI_10006996
P91929	CGI_10017598
P97852	CGI_10024801
P97864	CGI_10027004
Q00174	CGI_10026821
Q01484	CGI_10019530
Q01518	CGI_10022483
Q01831	CGI_10002688
Q06441	CGI_10013991
Q08DZ8	CGI_10001721
Q09621	CGI_10004573
Q09LZ8	CGI_10025432
Q12996	CGI_10006975
Q13042	CGI_10020208
Q13136	CGI_10015818
Q13490	CGI_10005392
Q14186	CGI_10012373
Q14202	CGI_10012126
Q14527	CGI_10013442
Q14690	CGI_10025541
Q15369	CGI_10000789
Q15392	CGI_10021243
Q15811	CGI_10027282
Q16956	CGI_10008834
Q17LW0	CGI_10016431
Q1LY77	CGI_10013795
Q20930	CGI_10027133
Q24307	CGI_10012324
Q24498	CGI_10025234
Q27954	CGI_10027347
Q28FX0	CGI_10018933
Q28H54	CGI_10012169
Q29RL9	CGI_10019931
Q2KIB5	CGI_10004548
Q2KIJ2	CGI_10018264
Q2KIU7	CGI_10015644
Q2PC93	CGI_10022184
Q2T9U5	CGI_10024143
Q32NG5	CGI_10020327
Q32NQ8	CGI_10001223
Q32PI8	CGI_10027880
Q39575	CGI_10024919
Q3HNM7	CGI_10006374
Q3MHR7	CGI_10018003
Q3SWZ4	CGI_10023759
Q3T0J9	CGI_10015344
Q3ZBX6	CGI_10008650
Q498J9	CGI_10008012
Q498T3	CGI_10019481
Q4R7X9	CGI_10000485
Q4R8M9	CGI_10025273
Q4V348	CGI_10023537
Q4V7A9	CGI_10026497
Q504Y3	CGI_10012962
Q505D1	CGI_10028081
Q52KJ8	CGI_10000428
Q53HV7	CGI_10028697
Q54X15	CGI_10018110
Q55E58	CGI_10007718
Q58CU2	CGI_10008780
Q5F339	CGI_10004088
Q5H8A4	CGI_10023492
Q5M7P5	CGI_10019899
Q5QQ53	CGI_10002413
Q5QQ53	CGI_10002414
Q5R9C1	CGI_10022832
Q5R9H4	CGI_10020806
Q5RA62	CGI_10014259
Q5RB35	CGI_10010809
Q5RBL1	CGI_10008716
Q5RBN9	CGI_10015640
Q5RD33	CGI_10018734
Q5REU4	CGI_10026535
Q5RFA0	CGI_10025645
Q5RG45	CGI_10015025
Q5RGJ8	CGI_10013374
Q5T1B0	CGI_10007458
Q5T3U5	CGI_10016527
Q5TB80	CGI_10013098
Q5U550	CGI_10009056
Q5W0Z9	CGI_10006703
Q5ZM35	CGI_10008613
Q60HD5	CGI_10006854
Q61124	CGI_10021444
Q61220	CGI_10006105
Q62915	CGI_10021945
Q63164	CGI_10026448
Q63424	CGI_10009837
Q6DCP1	CGI_10021842
Q6DFF9	CGI_10022310
Q6DFM9	CGI_10024362
Q6DFV5	CGI_10018402
Q6DJI8	CGI_10008836
Q6GPV5	CGI_10002232
Q6IFY7	CGI_10025479
Q6KCD5	CGI_10002811
Q6NVR9	CGI_10006763
Q6NXK5	CGI_10019873
Q6P1C1	CGI_10015211
Q6P1D7	CGI_10019710
Q6P1E7	CGI_10022501
Q6P9P0	CGI_10023569
Q6PDJ1	CGI_10015774
Q6PEE2	CGI_10011720
Q6YHK3	CGI_10026294
Q74GW7	CGI_10005980
Q75N73	CGI_10025484
Q75QN2	CGI_10017467
Q75WF2	CGI_10018880
Q7SY52	CGI_10009786
Q7SY73	CGI_10013782
Q7TPD0	CGI_10005253
Q7ZTY7	CGI_10019642
Q7ZVA6	CGI_10010714
Q80U96	CGI_10021125
Q80ZJ7	CGI_10014713
Q86UW6	CGI_10028574
Q86WG5	CGI_10026116
Q86WZ0	CGI_10008667
Q8AYS7	CGI_10028314
Q8BFR4	CGI_10028421
Q8BGF9	CGI_10011288
Q8BJ34	CGI_10007033
Q8BK67	CGI_10011007
Q8BRH4	CGI_10016397
Q8BV79	CGI_10009891
Q8BW86	CGI_10020669
Q8BW94	CGI_10004785
Q8BX70	CGI_10026852
Q8BYF6	CGI_10013770
Q8BZI6	CGI_10023669
Q8C033	CGI_10027500
Q8CDF7	CGI_10021786
Q8CFA2	CGI_10019480
Q8CFI5	CGI_10019275
Q8CGS4	CGI_10003741
Q8CIV2	CGI_10015150
Q8IQC1	CGI_10014583
Q8IWG1	CGI_10026357
Q8K0U4	CGI_10004348
Q8K2Y0	CGI_10009492
Q8K4K5	CGI_10007347
Q8N157	CGI_10027970
Q8N448	CGI_10009129
Q8NDA8	CGI_10011064
Q8NFA0	CGI_10017491
Q8R080	CGI_10007485
Q8R1S0	CGI_10021127
Q8R4E0	CGI_10005133
Q8TCB7	CGI_10022734
Q8TDX9	CGI_10013037
Q8TF62	CGI_10004707
Q8UUY8	CGI_10017492
Q8UVC3	CGI_10007801
Q8UVC3	CGI_10013945
Q8VHF0	CGI_10019329
Q8WV92	CGI_10013614
Q8WV93	CGI_10004178
Q8WXX0	CGI_10012096
Q90Y35	CGI_10003071
Q91048	CGI_10023907
Q91VA6	CGI_10020052
Q91YJ2	CGI_10013637
Q91YN5	CGI_10007751
Q920N2	CGI_10012824
Q920R0	CGI_10012236
Q922B6	CGI_10011877
Q922B6	CGI_10020331
Q922M3	CGI_10025652
Q92541	CGI_10012696
