C22142	GLEAN	mRNA	330	1695	1	+	.	ID=CGI_10000072;	C22142	171	941	611
C22290	GLEAN	mRNA	825	1649	1	-	.	ID=CGI_10000077;	C22290	360	934	109
C22638	GLEAN	mRNA	38	1762	1	+	.	ID=CGI_10000085;	C22638	1238	1750	511
C23432	GLEAN	mRNA	373	1948	1	-	.	ID=CGI_10000125;	C23432	1133	1839	705
C24030	GLEAN	mRNA	1032	1635	0.998023	+	.	ID=CGI_10000170;	C24030	1072	1617	544
C24030	GLEAN	mRNA	1794	2168	1	+	.	ID=CGI_10000171;	C24030	1897	2459	270
C24420	GLEAN	mRNA	380	1819	1	+	.	ID=CGI_10000195;	C24420	1702	2584	116
C24556	GLEAN	mRNA	51	1955	1	-	.	ID=CGI_10000198;	C24556	1004	1570	565
C24962	GLEAN	mRNA	98	2520	0.999624	+	.	ID=CGI_10000219;	C24962	1290	2125	834
scaffold1331	GLEAN	mRNA	1637	3196	0.999996	-	.	ID=CGI_10000237;	scaffold1331	1631	3003	1366
C25572	GLEAN	mRNA	1625	2196	0.999994	-	.	ID=CGI_10000249;	C25572	1324	2896	571
C25838	GLEAN	mRNA	55	2901	1	+	.	ID=CGI_10000268;	C25838	2240	2876	635
scaffold1196	GLEAN	mRNA	2317	3289	1	-	.	ID=CGI_10000272;	scaffold1196	2502	3444	786
C26102	GLEAN	mRNA	259	3556	1	+	.	ID=CGI_10000284;	C26102	2428	3255	826
scaffold423	GLEAN	mRNA	2456	3947	0.999855	-	.	ID=CGI_10000309;	scaffold423	1022	2524	68
C26534	GLEAN	mRNA	2594	2965	0.481188	-	.	ID=CGI_10000312;	C26534	1048	3647	371
C26532	GLEAN	mRNA	1020	3319	1	-	.	ID=CGI_10000313;	C26532	2725	3517	593
scaffold26586	GLEAN	mRNA	132	2015	0.998504	-	.	ID=CGI_10000315;	scaffold26586	1512	2824	502
C27378	GLEAN	mRNA	171	4280	0.999936	+	.	ID=CGI_10000356;	C27378	1217	2140	922
C27712	GLEAN	mRNA	1772	3977	0.56134	+	.	ID=CGI_10000379;	C27712	2957	3477	519
C27712	GLEAN	mRNA	1772	3977	0.56134	+	.	ID=CGI_10000379;	C27712	3660	4486	316
C27762	GLEAN	mRNA	34	4931	0.999952	-	.	ID=CGI_10000384;	C27762	3001	4604	1602
scaffold1530	GLEAN	mRNA	397	1678	0.999999	+	.	ID=CGI_10000390;	scaffold1530	1225	2176	452
scaffold28612	GLEAN	mRNA	140	4989	0.777732	-	.	ID=CGI_10000455;	scaffold28612	2554	3346	791
C28760	GLEAN	mRNA	796	4602	1	+	.	ID=CGI_10000466;	C28760	2334	3033	698
C28760	GLEAN	mRNA	796	4602	1	+	.	ID=CGI_10000466;	C28760	3507	4550	1042
C28982	GLEAN	mRNA	756	6077	0.999998	-	.	ID=CGI_10000485;	C28982	4574	5405	830
scaffold29000	GLEAN	mRNA	55	4366	0.999744	+	.	ID=CGI_10000487;	scaffold29000	1616	5237	2749
C29222	GLEAN	mRNA	262	3974	0.841405	-	.	ID=CGI_10000504;	C29222	1189	1924	734
C29222	GLEAN	mRNA	262	3974	0.841405	-	.	ID=CGI_10000504;	C29222	1963	2566	602
C29320	GLEAN	mRNA	1206	6434	0.544851	+	.	ID=CGI_10000520;	C29320	1014	2927	1721
C29320	GLEAN	mRNA	1206	6434	0.544851	+	.	ID=CGI_10000520;	C29320	3649	4432	782
