A0A8J8	A0A8J8.1	CGI_10000672	6e-22
A0AVF1	A0AVF1.1	CGI_10012146	1e-49
A0AVK6	A0AVK6.1	CGI_10023548	2e-63
A0AVT1	A0AVT1.1	CGI_10003125	2e-25
A0AVT1	A0AVT1.1	CGI_10012444	2e-113
A0FGR8	A0FGR8.1	CGI_10025868	9e-24
A0JC51	A0JC51.1	CGI_10016118	8e-34
A0JM12	A0JM12.1	CGI_10001556	6e-17
A0JM12	A0JM12.1	CGI_10001637	4e-09
A0JM12	A0JM12.1	CGI_10001773	3e-11
A0JM12	A0JM12.1	CGI_10002334	3e-26
A0JM12	A0JM12.1	CGI_10002390	2e-17
A0JM12	A0JM12.1	CGI_10002639	4e-39
A0JM12	A0JM12.1	CGI_10002744	7e-39
A0JM12	A0JM12.1	CGI_10003889	6e-18
A0JM12	A0JM12.1	CGI_10003993	1e-11
A0JM12	A0JM12.1	CGI_10004144	1e-29
A0JM12	A0JM12.1	CGI_10004236	2e-13
A0JM12	A0JM12.1	CGI_10004362	5e-64
A0JM12	A0JM12.1	CGI_10004414	1e-15
A0JM12	A0JM12.1	CGI_10004502	8e-52
A0JM12	A0JM12.1	CGI_10004595	9e-35
A0JM12	A0JM12.1	CGI_10005200	4e-35
A0JM12	A0JM12.1	CGI_10006902	2e-86
A0JM12	A0JM12.1	CGI_10008624	2e-20
A0JM12	A0JM12.1	CGI_10008878	2e-29
A0JM12	A0JM12.1	CGI_10009396	2e-06
A0JM12	A0JM12.1	CGI_10009585	7e-32
A0JM12	A0JM12.1	CGI_10011370	8e-132
A0JM12	A0JM12.1	CGI_10011676	1e-47
A0JM12	A0JM12.1	CGI_10012285	2e-08
A0JM12	A0JM12.1	CGI_10012536	3e-26
A0JM12	A0JM12.1	CGI_10013479	2e-70
A0JM12	A0JM12.1	CGI_10014545	2e-36
A0JM12	A0JM12.1	CGI_10015520	7e-13
A0JM12	A0JM12.1	CGI_10016050	2e-14
A0JM12	A0JM12.1	CGI_10016575	6e-06
A0JM12	A0JM12.1	CGI_10017275	7e-06
A0JM12	A0JM12.1	CGI_10019628	2e-67
A0JM12	A0JM12.1	CGI_10020523	2e-53
A0JM12	A0JM12.1	CGI_10021067	2e-67
A0JM12	A0JM12.1	CGI_10021292	4e-14
A0JM12	A0JM12.1	CGI_10021592	7e-49
A0JM12	A0JM12.1	CGI_10022048	1e-52
A0JM12	A0JM12.1	CGI_10022417	2e-06
A0JM12	A0JM12.1	CGI_10022608	9e-06
A0JM12	A0JM12.1	CGI_10022655	4e-82
A0JM12	A0JM12.1	CGI_10022796	2e-77
A0JM12	A0JM12.1	CGI_10023031	6e-17
A0JM12	A0JM12.1	CGI_10023315	1e-06
A0JM12	A0JM12.1	CGI_10023967	3e-06
A0JM12	A0JM12.1	CGI_10024041	6e-47
A0JM12	A0JM12.1	CGI_10024459	6e-21
A0JM12	A0JM12.1	CGI_10025295	1e-34
A0JM12	A0JM12.1	CGI_10027947	7e-41
A0JM23	A0JM23.2	CGI_10014957	0.0
A0JM56	A0JM56.2	CGI_10006780	3e-106
A0JM56	A0JM56.2	CGI_10010764	6e-07
A0JM56	A0JM56.2	CGI_10028069	0.0
A0JM59	A0JM59.1	CGI_10027679	0.0
A0JMA9	A0JMA9.1	CGI_10023908	0.0
A0JMD4	A0JMD4.1	CGI_10013580	6e-98
A0JMH2	A0JMH2.1	CGI_10002340	7e-37
A0JMK9	A0JMK9.1	CGI_10004475	4e-29
A0JMP0	A0JMP0.1	CGI_10028645	2e-101
A0JMQ0	A0JMQ0.1	CGI_10010821	0.0
A0JMQ9	A0JMQ9.1	CGI_10019877	0.0
A0JMU5	A0JMU5.1	CGI_10015847	1e-32
A0JMY4	A0JMY4.1	CGI_10024694	2e-118
A0JN53	A0JN53.1	CGI_10025395	0.0
A0JN76	A0JN76.2	CGI_10022422	1e-11
A0JN80	A0JN80.2	CGI_10015915	0.0
A0JNA8	A0JNA8.1	CGI_10009993	4e-107
A0JNC4	A0JNC4.1	CGI_10002072	1e-32
A0JNC4	A0JNC4.1	CGI_10025941	1e-91
A0JND3	A0JND3.1	CGI_10013172	1e-10
A0JNG4	A0JNG4.1	CGI_10001749	6e-12
A0JNG4	A0JNG4.1	CGI_10008221	3e-17
A0JNG4	A0JNG4.1	CGI_10010196	6e-06
A0JNG4	A0JNG4.1	CGI_10021442	1e-12
A0JNG7	A0JNG7.1	CGI_10020691	0.0
A0JNH9	A0JNH9.1	CGI_10001384	3e-08
A0JNJ3	A0JNJ3.1	CGI_10003772	3e-70
A0JP70	A0JP70.1	CGI_10020371	0.0
A0JP86	A0JP86.1	CGI_10019046	0.0
