CGI_10000456	gi	226707547	sp	A4FUY7.2	MOC2B_BOVIN	58.45	142	59	0	4	429	45	186	9e-49	 161
CGI_10000457	gi	60393871	sp	Q9BUI4.1	RPC3_HUMAN	52.53	198	90	1	7	588	337	534	1e-62	 209
CGI_10000774	gi	140225	sp	P05450.1	YAT7_RHOBL	36.23	69	44	0	163	369	36	104	2e-09	55.1
CGI_10000861	gi	81876587	sp	Q8C525.1	M21D2_MOUSE	28.38	148	98	4	517	957	181	321	5e-11	68.9
CGI_10000994	gi	2492837	sp	P95896.1	AMID_SULSO	47.17	494	252	4	157	1614	9	501	3e-136	 412
CGI_10000643	gi	13124114	sp	P57756.1	FCN2_RAT	50.28	181	88	2	1	543	141	319	8e-58	 190
CGI_10000610	gi	189029808	sp	A2A690.1	TANC2_MOUSE	51.85	378	176	2	4	1119	879	1256	1e-124	 401
CGI_10001568	gi	74896865	sp	Q54G05.1	LRRX1_DICDI	21.21	825	564	23	409	2709	193	989	9e-21	 102
CGI_10001333	gi	81885333	sp	Q6P799.3	SYSC_RAT	70.54	482	140	2	1	1443	1	481	0.0	 696
CGI_10002404	gi	51704215	sp	Q01177.2	PLMN_RAT	38.93	131	64	3	82	435	265	392	3e-27	99.0
CGI_10002405	gi	126173	sp	P22031.1	LEG_ANTCR	43.96	91	49	1	541	807	12	102	4e-14	71.6
CGI_10002407	gi	182627641	sp	A8K0R7.1	ZN839_HUMAN	37.23	94	59	0	1525	1806	351	444	9e-13	76.3
CGI_10001405	gi	51316253	sp	Q6ZPT1.2	KLHL9_MOUSE	34.26	578	371	5	31	1755	21	592	1e-116	 367
CGI_10001406	gi	74724887	sp	Q9BWU0.1	NADAP_HUMAN	49.10	444	208	9	361	1653	151	589	3e-100	 335
CGI_10001407	gi	3123205	sp	P29691.4	EF2_CAEEL	75.89	788	180	2	1	2334	65	852	0.0	1180
CGI_10002515	gi	209572614	sp	Q92636.2	FAN_HUMAN	38.39	883	449	15	820	3222	20	889	0.0	 578
CGI_10002516	gi	158513309	sp	A5GFZ5.1	DPM1_PIG	83.12	237	40	0	10	720	23	259	7e-146	 415
CGI_10001165	gi	121990	sp	P08991.1	H2AV_STRPU	100.00	41	0	0	112	234	23	63	4e-20	84.3
CGI_10001233	gi	342187076	sp	Q6PFY8.2	TRI45_MOUSE	30.85	201	119	5	22	588	129	321	1e-17	89.7
CGI_10002757	gi	81896477	sp	Q8BKE6.1	CP20A_MOUSE	45.24	42	23	0	208	333	39	80	1e-07	55.1
CGI_10002758	gi	215274188	sp	O95236.3	APOL3_HUMAN	24.77	214	147	1	814	1413	177	390	2e-09	62.8
CGI_10000261	gi	68052380	sp	Q9I8C7.1	ACH10_CHICK	36.55	145	89	1	7	432	88	232	3e-28	 112
CGI_10003755	gi	71153596	sp	Q8CFK2.1	TF3B_MOUSE	65.20	227	59	2	16	636	5	231	2e-89	 294
CGI_10003756	gi	20137287	sp	P58545.1	BTBD3_MOUSE	64.86	481	155	2	55	1497	65	531	0.0	 625
CGI_10003758	gi	37999475	sp	O46606.1	DDHD1_BOVIN	44.93	552	235	10	214	1683	158	702	2e-152	 470
CGI_10001931	gi	1345852	sp	P41242.2	MATK_MOUSE	40.20	199	106	4	2095	2691	297	482	1e-35	 146
CGI_10003110	gi	13124689	sp	P18091.2	ACTN_DROME	74.78	912	192	3	19	2640	13	924	0.0	1394
CGI_10002840	gi	50403597	sp	P62489.1	RPB7_RAT	89.16	166	18	0	1	498	5	170	1e-97	 286
CGI_10002841	gi	342187069	sp	Q60803.2	TRAF3_MOUSE	40.69	548	274	11	19	1560	37	567	5e-128	 392
CGI_10002842	gi	51316582	sp	P62866.1	RS30_BOVIN	86.44	59	8	0	217	393	1	59	1e-20	84.3
CGI_10004394	gi	47117817	sp	O75376.2	NCOR1_HUMAN	47.23	451	220	6	676	1989	134	579	6e-96	 351
CGI_10004395	gi	6094438	sp	O77622.3	TCPZ_RABIT	77.02	531	122	0	1	1593	1	531	0.0	 823
CGI_10004396	gi	2851393	sp	P16435.2	NCPR_HUMAN	62.50	672	248	2	1	2010	6	675	0.0	 895
CGI_10004397	gi	51338767	sp	P27465.2	PISD_CRIGR	51.64	304	133	4	1	897	114	408	3e-96	 296
CGI_10004399	gi	75070943	sp	Q5REG1.1	SART3_PONAB	43.57	840	432	8	358	2844	94	902	0.0	 671
CGI_10003112	gi	61212620	sp	Q6PCJ1.1	DCTN1_XENLA	29.38	160	90	3	1606	2082	1050	1187	2e-09	65.1
CGI_10004069	gi	215274656	sp	A8E5V9.1	TM173_XENTR	26.26	179	109	5	481	969	136	307	6e-08	59.7
CGI_10004070	gi	12585194	sp	Q9U505.1	ATP9_MANSE	67.03	91	30	0	37	309	27	117	3e-17	76.6
CGI_10004071	gi	1173408	sp	P34900.2	SDC2_RAT	64.86	37	13	0	76	186	165	201	2e-09	53.9
CGI_10004072	gi	3913589	sp	P81439.1	EQST_ACTEQ	35.34	133	77	5	163	552	5	131	1e-14	74.3
CGI_10002683	gi	75327825	sp	Q84J37.1	LAC15_ARATH	34.88	129	50	4	40	411	462	561	3e-15	75.9
CGI_10002684	gi	122248730	sp	Q2R0L0.1	LAC20_ORYSJ	32.04	103	68	1	40	348	213	313	2e-10	61.6
CGI_10003316	gi	30316395	sp	Q9Y2G3.2	AT11B_HUMAN	51.66	1084	480	12	718	3870	20	1092	0.0	1055
CGI_10001243	gi	75309680	sp	Q9FT69.1	RQSIM_ARATH	31.17	154	80	6	52	513	169	296	2e-06	50.8
CGI_10003166	gi	81886344	sp	Q4ZJM9.1	C1QL4_MOUSE	36.44	118	58	5	1	327	126	235	5e-10	57.8
CGI_10003167	gi	341941077	sp	Q4U2R1.3	HERC2_MOUSE	47.93	121	49	4	22	354	917	1033	1e-13	73.9
CGI_10001588	gi	146345453	sp	Q16706.2	MA2A1_HUMAN	34.87	1001	597	23	313	3216	164	1142	0.0	 568
CGI_10001589	gi	317373266	sp	P54278.2	PMS2_HUMAN	65.55	238	78	1	100	813	2	235	3e-87	 294
