chr	geneID	genes.start	genes.end	MI.start	MI.end	overlap	length	GOSlim	DML.overlaps
scaffold640	CGI_10007640	92126	109820	100002	106527	6524	6525	cell organization and biogenesis	0
scaffold640	CGI_10007640	92126	109820	100002	106527	6524	6525	RNA metabolism	0
scaffold640	CGI_10007640	92126	109820	100002	106527	6524	6525	other metabolic processes	0
scaffold308	CGI_10011007	89849	109933	100004	104162	4157	4158	cell organization and biogenesis	1
scaffold308	CGI_10011007	89849	109933	100004	104162	4157	4158	cell cycle and proliferation	1
scaffold308	CGI_10011007	89849	109933	100004	104162	4157	4158	signal transduction	1
scaffold308	CGI_10011007	89849	109933	100004	104162	4157	4158	cell adhesion	1
scaffold41034	CGI_10004652	65834	103548	100005	100582	576	577	transport	0
scaffold41034	CGI_10004652	65834	103548	100005	100582	576	577	cell cycle and proliferation	0
scaffold41034	CGI_10004652	65834	103548	100005	100582	576	577	cell organization and biogenesis	0
scaffold980	CGI_10019207	99491	101833	100005	101563	1557	1558	cell cycle and proliferation	0
scaffold980	CGI_10019207	99491	101833	100005	101563	1557	1558	signal transduction	0
scaffold980	CGI_10019207	99491	101833	100005	101563	1557	1558	protein metabolism	0
scaffold980	CGI_10019207	99491	101833	100005	101563	1557	1558	RNA metabolism	0
scaffold980	CGI_10019207	99491	101833	100005	101563	1557	1558	developmental processes	0
scaffold269	CGI_10018989	98019	104666	100007	102029	2021	2022	other metabolic processes	0
scaffold547	CGI_10018842	80145	147153	100009	101383	1373	1374	transport	0
scaffold43708	CGI_10011964	225	22019	10001	12367	2365	2366	transport	0
scaffold43708	CGI_10011964	225	22019	10001	12367	2365	2366	cell adhesion	0
scaffold43708	CGI_10011964	225	22019	10001	12367	2365	2366	stress response	0
scaffold43708	CGI_10011964	225	22019	10001	12367	2365	2366	protein metabolism	0
scaffold43708	CGI_10011964	225	22019	10001	12367	2365	2366	signal transduction	0
scaffold43708	CGI_10011964	225	22019	10001	12367	2365	2366	cell organization and biogenesis	0
scaffold41806	CGI_10005645	79076	103282	100012	101840	1827	1828	transport	0
scaffold41806	CGI_10005645	79076	103282	100012	101840	1827	1828	cell organization and biogenesis	0
scaffold1104	CGI_10020354	94892	123568	100018	100655	636	637	DNA metabolism	0
scaffold1104	CGI_10020354	94892	123568	100018	100655	636	637	RNA metabolism	0
scaffold1104	CGI_10020354	94892	123568	100018	100655	636	637	cell cycle and proliferation	0
scaffold1862	CGI_10021884	304	12683	10002	11199	1196	1197	death	0
C35556	CGI_10001552	9862	16016	10002	12405	2402	2403	signal transduction	0
C35556	CGI_10001552	9862	16016	10002	12405	2402	2403	developmental processes	0
C35556	CGI_10001552	9862	16016	10002	12405	2402	2403	stress response	0
C35556	CGI_10001552	9862	16016	10002	12405	2402	2403	transport	0
C35556	CGI_10001552	9862	16016	10002	12405	2402	2403	other metabolic processes	0
C35556	CGI_10001552	9862	16016	10002	12405	2402	2403	cell organization and biogenesis	0
scaffold82	CGI_10025280	955814	1001301	1000264	1000795	530	531	signal transduction	0
scaffold1598	CGI_10003269	8043	14704	10003	10785	781	782	transport	0
scaffold1598	CGI_10003269	8043	14704	10003	10785	781	782	cell organization and biogenesis	0
scaffold27	CGI_10003285	8483	22692	10003	11668	1664	1665	other metabolic processes	0
scaffold107	CGI_10025079	996510	1010951	1000314	1001249	934	935	DNA metabolism	0
scaffold107	CGI_10025079	996510	1010951	1000314	1001249	934	935	stress response	0
