C16540	168	361	12
C17664	289	384	10
C17734	138	425	22
C18288	101	472	34
C18688	104	266	11
C18862	353	509	10
C19082	368	646	11
C19100	225	693	13
C20014	544	817	10
C20244	461	612	10
C20640	117	267	18
C20640	26	414	19
C20798	172	953	26
C21096	1033	1169	10
C21120	415	826	23
C21130	227	953	38
C21194	329	767	18
C21282	277	670	11
C21418	127	522	19
C21500	656	909	14
C21548	265	695	18
C21550	274	687	20
C21652	536	975	15
C21700	110	392	33
C21724	612	984	13
C22058	279	532	17
C22074	515	643	10
C22142	171	941	22
C22164	191	895	25
C22220	384	694	13
C22248	1104	1413	11
C22280	330	973	21
C22290	1032	1461	10
C22290	360	934	14
C22294	264	599	10
C22298	236	511	12
C22310	1217	1751	12
C22362	196	777	26
C22382	1173	1555	11
C22384	1050	1464	26
C22390	1112	1821	38
C22390	333	739	32
C22638	1238	1750	22
C22772	1062	1902	23
C22772	242	972	19
C22794	486	982	15
C22834	1473	1868	14
C23230	1424	2018	30
C23264	1585	2161	15
C23428	1011	1474	29
C23428	445	948	13
C23432	1133	1839	19
C23446	1047	2237	50
C23446	223	365	13
C23446	872	998	19
C23682	1349	1777	10
C23716	1118	1260	13
C23900	931	983	10
C23930	1130	1534	23
C23930	2314	2462	17
C24008	1007	1409	13
C24030	1072	1617	12
C24030	1897	2459	12
C24030	466	729	15
C24242	1118	1303	11
C24242	1587	2092	19
C24242	2220	2578	39
C24242	276	981	38
C24280	1981	2439	15
C24398	1612	2493	22
C24420	1103	1493	10
C24420	1702	2584	22
C24432	2224	2683	11
C24456	1215	2033	19
C24456	2341	2580	14
C24478	359	897	17
C24524	1661	2070	14
C24556	1004	1570	19
C24556	634	973	13
C24564	1594	2014	57
C24564	2087	2249	11
C24564	2530	2725	28
C24564	283	525	24
C24564	814	998	10
C24672	1016	2279	65
C24676	516	829	10
C24740	1880	2858	55
C24824	575	975	12
C24868	1003	1356	31
C24954	2426	2848	38
C24960	2253	2640	13
C24962	1290	2125	21
C25014	215	641	10
C25032	2373	2720	35
C25032	273	511	13
C25056	1259	1677	11
C25084	2772	2982	14
C25180	1437	2509	32
C25218	1549	2152	48
C25218	310	940	34
C25230	1608	1694	10
C25344	2534	2681	14
C25394	2861	3052	12
C25414	999	2046	23
C25414	443	998	17
C25420	1041	1471	10
C25420	336	703	20
C25456	394	454	12
C25470	1189	2011	18
C25540	1052	1384	22
C25540	2122	2359	21
C25540	2585	2714	12
C25540	2742	2817	12
C25540	2859	3153	22
C25540	526	946	20
C25572	1324	2896	99
C25572	369	988	20
C25592	1209	1850	14
C25644	999	1269	15
C25654	1674	3218	38
C25654	380	908	39
C25670	1466	2557	33
C25670	25	560	19
C25670	824	984	21
C25698	2333	2635	13
C25708	128	171	10
C25708	2556	3048	23
C25708	619	875	23
C25734	283	796	22
C25752	1982	3393	54
C25752	519	952	17
C25838	2240	2876	20
C25896	1634	2243	17
C25898	1406	1839	20
C25912	2434	3441	47
C25970	1022	3556	59
C25970	388	997	32
C25980	1577	2269	15
C25980	2425	3582	34
C25990	2113	2410	16
C26040	2432	2799	12
C26070	1136	1779	20
C26070	2033	3121	47
C26070	373	947	30
C26102	1456	1834	11
C26102	2428	3255	24
C26102	420	912	22
C26148	3097	3737	33
C26180	457	935	10
C26184	1759	3364	63
C26238	201	522	12
C26256	3435	3721	11
C26306	2370	2580	10
C26460	1004	1436	17
C26466	2522	3751	32
C26492	2007	3072	38
C26508	2015	2449	10
C26526	1275	2827	48
C26532	2725	3517	29
C26534	1048	3647	136
C26584	2021	2750	16
C26584	2910	3931	21
C26614	2471	3091	29
C26614	3259	3885	42
C26614	466	985	34
C26640	2509	2982	10
C26646	1487	2199	16
C26684	2968	3451	11
C26688	2596	2731	12
C26740	2467	3273	40
C26742	1945	2169	24
C26742	3592	3642	18
C26742	486	893	49
C26852	1033	1208	10
C26866	1089	1572	18
C26866	1649	1826	12
C26866	2015	2263	10
C26866	2350	2553	14
C26888	3147	3953	18
C26934	1465	4219	106
C26938	276	848	16
C26948	1629	2375	54
C26986	3479	4020	30
