A0NGI1	CGI_10010648	Transmembrane protein 234 homolog
A1L2Y1	CGI_10019566	Fibrous sheath-interacting protein 1
A2AHJ4	CGI_10020687	Bromodomain and WD repeat-containing protein 3
A2AWP0	CGI_10026569	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Livin) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30 kDa subunit (Truncated livin) (p30-Livin) (tLivin)]
A2BGR3	CGI_10025557	DNA excision repair protein ERCC-6-like (EC 3.6.4.12) (ATP-dependent helicase ERCC6-like)
A4D0V7	CGI_10020074	Cadherin-like and PC-esterase domain-containing protein 1
A4IF87	CGI_10011812	Dihydroxyacetone phosphate acyltransferase (DAP-AT) (DHAP-AT) (EC 2.3.1.42) (Acyl-CoA:dihydroxyacetonephosphateacyltransferase) (Glycerone-phosphate O-acyltransferase)
A6NHR9	CGI_10013732	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1)
A6QQ68	CGI_10009117	Protein FAM228B
A6QQP7	CGI_10024760	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)
A6QR44	CGI_10006425	Microprocessor complex subunit DGCR8 (DiGeorge syndrome critical region 8 homolog)
A7YWD2	CGI_10003141	Importin-13 (Imp13)
A8MTY0	CGI_10024210	Zinc finger protein 724
B0S5N4	CGI_10010795	Plexin A3
B0S733	CGI_10001930	Regulator of nonsense transcripts 3A (Up-frameshift suppressor 3 homolog A)
B0W2S0	CGI_10014051	Clustered mitochondria protein homolog
B1H1P9	CGI_10006634	Lysosomal acid phosphatase (LAP) (EC 3.1.3.2)
B4U7S7	CGI_10005632	Probable transcriptional regulatory protein HY04AAS1_0501
B5FZ19	CGI_10025943	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (eIF-3-beta) (eIF3 p36)
B5X2B8	CGI_10005915	GTPase Era, mitochondrial (ERA-like protein 1)
E1B7X9	CGI_10025169	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 (EC 3.6.4.12)
E1C1R4	CGI_10004725	Ubiquitin carboxyl-terminal hydrolase 47 (EC 3.4.19.12) (Deubiquitinating enzyme 47) (Ubiquitin thioesterase 47) (Ubiquitin-specific-processing protease 47)
E1C2Z0	CGI_10024637	Protein MMS22-like (Methyl methanesulfonate-sensitivity protein 22-like)
F8WLE0	CGI_10018571	Kinesin-like protein KIF28P (Kinesin-like protein 6)
O00410	CGI_10013799	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)
O08550	CGI_10008103	Histone-lysine N-methyltransferase 2B (Lysine N-methyltransferase 2B) (EC 2.1.1.43) (Myeloid/lymphoid or mixed-lineage leukemia protein 4 homolog) (Trithorax homolog 2) (WW domain-binding protein 7) (WBP-7)
O08839	CGI_10012930	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Bridging integrator 1)
O14832	CGI_10008109	Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)
O14981	CGI_10003467	TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172)
O15027	CGI_10027751	Protein transport protein Sec16A (SEC16 homolog A)
O15182	CGI_10026181	Centrin-3
O15400	CGI_10025330	Syntaxin-7
O29230	CGI_10006664	DNA double-strand break repair Rad50 ATPase
O35134	CGI_10014460	DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1) (EC 2.7.7.6) (DNA-directed RNA polymerase I largest subunit) (DNA-directed RNA polymerase I subunit A) (RNA polymerase I 194 kDa subunit) (RPA194)
O43826	CGI_10004606	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)
O43913	CGI_10010442	Origin recognition complex subunit 5
O46037	CGI_10014632	Vinculin
O54701	CGI_10009078	Sodium/potassium/calcium exchanger 2 (Na(+)/K(+)/Ca(2+)-exchange protein 2) (Retinal cone Na-Ca+K exchanger) (Solute carrier family 24 member 2)
O60306	CGI_10006403	Intron-binding protein aquarius (Intron-binding protein of 160 kDa) (IBP160)
O60504	CGI_10021679	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)
O61577	CGI_10016028	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 3.6.4.3) (p60 katanin)
O75096	CGI_10026155	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)
O75165	CGI_10021563	DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)
O75417	CGI_10013103	DNA polymerase theta (EC 2.7.7.7) (DNA polymerase eta)
O75445	CGI_10014850	Usherin (Usher syndrome type IIa protein) (Usher syndrome type-2A protein)
O75533	CGI_10007640	Splicing factor 3B subunit 1 (Pre-mRNA-splicing factor SF3b 155 kDa subunit) (SF3b155) (Spliceosome-associated protein 155) (SAP 155)
O75596	CGI_10024415	C-type lectin domain family 3 member A (C-type lectin superfamily member 1) (Cartilage-derived C-type lectin)
O75643	CGI_10018964	U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)
O75665	CGI_10010882	Oral-facial-digital syndrome 1 protein (Protein 71-7A)
O75891	CGI_10014314	Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1)
O88974	CGI_10026622	Histone-lysine N-methyltransferase SETDB1 (EC 2.1.1.43) (ERG-associated protein with SET domain) (ESET) (SET domain bifurcated 1)
O94913	CGI_10027261	Pre-mRNA cleavage complex 2 protein Pcf11 (Pre-mRNA cleavage complex II protein Pcf11)
P00491	CGI_10017694	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)
P04183	CGI_10024169	Thymidine kinase, cytosolic (EC 2.7.1.21)
P05455	CGI_10005904	Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B)
P07207	CGI_10022703	Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]
P08183	CGI_10015978	Multidrug resistance protein 1 (EC 3.6.3.44) (ATP-binding cassette sub-family B member 1) (P-glycoprotein 1) (CD antigen CD243)
P09487	CGI_10014131	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)
P09623	CGI_10028528	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase)
P0C8Z3	CGI_10005033	Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22)
P10076	CGI_10015140	Zinc finger protein 26 (Zfp-26) (Protein mKR3)
P10351	CGI_10012473	Xanthine dehydrogenase (XD) (EC 1.17.1.4) (Protein rosy locus)
P11087	CGI_10019649	Collagen alpha-1(I) chain (Alpha-1 type I collagen)
P11276	CGI_10001789	Fibronectin (FN) [Cleaved into: Anastellin]
P13395	CGI_10025721	Spectrin alpha chain
P13666	CGI_10008403	Sarcalumenin
P13667	CGI_10019057	Protein disulfide-isomerase A4 (EC 5.3.4.1) (Endoplasmic reticulum resident protein 70) (ER protein 70) (ERp70) (Endoplasmic reticulum resident protein 72) (ER protein 72) (ERp-72) (ERp72)
P17439	CGI_10005801	Glucosylceramidase (EC 3.2.1.45) (Acid beta-glucosidase) (Beta-glucocerebrosidase) (D-glucosyl-N-acylsphingosine glucohydrolase)
P22292	CGI_10007140	Mitochondrial 2-oxoglutarate/malate carrier protein (OGCP) (Solute carrier family 25 member 11)
P22793	CGI_10023442	Trichohyalin
P23634	CGI_10023684	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 3.6.3.8) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)
P23913	CGI_10025955	Lamin-B receptor
P24928	CGI_10021948	DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase II subunit A) (DNA-directed RNA polymerase III largest subunit) (RNA-directed RNA polymerase II subunit RPB1) (EC 2.7.7.48)
P25228	CGI_10021960	Ras-related protein Rab-3
P27600	CGI_10020412	Guanine nucleotide-binding protein subunit alpha-12 (G alpha-12) (G-protein subunit alpha-12)
P28271	CGI_10001851	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)
P34056	CGI_10019880	Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2)
P35285	CGI_10020438	Ras-related protein Rab-22A (Rab-22) (Rab-14)
P35398	CGI_10007708	Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)
P35626	CGI_10010914	Beta-adrenergic receptor kinase 2 (Beta-ARK-2) (EC 2.7.11.15) (G-protein-coupled receptor kinase 3)
P38942	CGI_10010890	4-hydroxybutyrate coenzyme A transferase (EC 2.8.3.-)
P42573	CGI_10023240	Cell death protein 3 (EC 3.4.22.-) [Cleaved into: Cell death protein 3 subunit 1; Cell death protein 3 subunit 2]
P42765	CGI_10002160	3-ketoacyl-CoA thiolase, mitochondrial (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Mitochondrial 3-oxoacyl-CoA thiolase) (T1)
P42859	CGI_10028915	Huntingtin (Huntington disease protein homolog) (HD protein homolog)
P47989	CGI_10013781	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]
P49139	CGI_10003308	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1) (Fragment)
P49815	CGI_10016453	Tuberin (Tuberous sclerosis 2 protein)
P50429	CGI_10004766	Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S)
P51947	CGI_10006326	Cyclin-H (MO15-associated protein) (p36)
P52590	CGI_10006924	Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107) (p105)
P53007	CGI_10002774	Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)
P55210	CGI_10023427	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]
P60924	CGI_10013666	Death ligand signal enhancer
P62597	CGI_10004647	Protection of telomeres protein 1 (cPot1) (POT1-like telomere end-binding protein)
P70207	CGI_10003458	Plexin-A2 (Plex 2) (Plexin-2)
P84798	CGI_10006996	DNA polymerase delta subunit 3 (DNA polymerase delta subunit p66) (p68)
P91929	CGI_10017598	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial (Complex I-42kD) (CI-42kD) (NADH-ubiquinone oxidoreductase 42 kDa subunit)
P97852	CGI_10024801	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MPF-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]
P97864	CGI_10027004	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (Cysteine protease LICE2) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]
Q00174	CGI_10026821	Laminin subunit alpha (Laminin A chain)
Q01484	CGI_10019530	Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin)
Q01518	CGI_10022483	Adenylyl cyclase-associated protein 1 (CAP 1)
Q01831	CGI_10002688	DNA repair protein complementing XP-C cells (Xeroderma pigmentosum group C-complementing protein) (p125)
Q06441	CGI_10013991	Thrombospondin-4
Q08DZ8	CGI_10001721	DNA-directed primase/polymerase protein (EC 2.7.7.-) (Coiled-coil domain-containing protein 111)
Q09621	CGI_10004573	Beta-lactamase domain-containing protein 2
Q09LZ8	CGI_10025432	Cytosolic carboxypeptidase 6 (EC 3.4.17.-) (ATP/GTP-binding protein-like 4)
Q12996	CGI_10006975	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)
Q13042	CGI_10020208	Cell division cycle protein 16 homolog (Anaphase-promoting complex subunit 6) (APC6) (CDC16 homolog) (CDC16Hs) (Cyclosome subunit 6)
Q13136	CGI_10015818	Liprin-alpha-1 (LAR-interacting protein 1) (LIP-1) (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-1) (PTPRF-interacting protein alpha-1)
Q13490	CGI_10005392	Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)
Q14186	CGI_10012373	Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1)
Q14202	CGI_10012126	Zinc finger MYM-type protein 3 (Zinc finger protein 261)
Q14527	CGI_10013442	Helicase-like transcription factor (EC 2.3.2.27) (EC 3.6.4.-) (DNA-binding protein/plasminogen activator inhibitor 1 regulator) (HIP116) (RING finger protein 80) (RING-type E3 ubiquitin transferase HLTF) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 3) (Sucrose nonfermenting protein 2-like 3)
Q14690	CGI_10025541	Protein RRP5 homolog (NF-kappa-B-binding protein) (NFBP) (Programmed cell death protein 11)
Q15369	CGI_10000789	Elongin-C (EloC) (Elongin 15 kDa subunit) (RNA polymerase II transcription factor SIII subunit C) (SIII p15) (Transcription elongation factor B polypeptide 1)
Q15392	CGI_10021243	Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1)
Q15811	CGI_10027282	Intersectin-1 (SH3 domain-containing protein 1A) (SH3P17)
Q16956	CGI_10008834	78 kDa glucose-regulated protein (GRP-78) (BiP) (Protein 1603)
Q17LW0	CGI_10016431	Myosin-VIIa (Protein crinkled)
Q1LY77	CGI_10013795	Histone-lysine N-methyltransferase SETD1B-A (EC 2.1.1.43) (SET domain-containing protein 1B-A)
Q20930	CGI_10027133	ADAM family mig-17 (EC 3.4.24.-) (A disintegrin and metalloproteinase mig-17) (Abnormal cell migration protein 17)
Q24307	CGI_10012324	Death-associated inhibitor of apoptosis 2 (EC 6.3.2.-) (Apoptosis 2 inhibitor) (IAP homolog A) (IAP-like protein) (ILP) (dILP) (Inhibitor of apoptosis 2)
Q24498	CGI_10025234	Ryanodine receptor (Ryanodine receptor 44F)
Q27954	CGI_10027347	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]
Q28FX0	CGI_10018933	ELAV-like protein 3 (Protein ElrC)
Q28H54	CGI_10012169	Choline/ethanolaminephosphotransferase 1 (EC 2.7.8.1) (EC 2.7.8.2)
Q29RL9	CGI_10019931	Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1)
Q2KIB5	CGI_10004548	V-type proton ATPase subunit e 2 (V-ATPase subunit e 2) (Vacuolar proton pump subunit e 2)
Q2KIJ2	CGI_10018264	Histidine protein methyltransferase 1 homolog (Methyltransferase-like protein 18) (EC 2.1.1.-)
Q2KIU7	CGI_10015644	Radial spoke head protein 9 homolog
Q2PC93	CGI_10022184	SCO-spondin
Q2T9U5	CGI_10024143	RNA exonuclease 5 (EC 3.1.-.-) (Putative RNA exonuclease NEF-sp)
Q32NG5	CGI_10020327	Solute carrier family 2, facilitated glucose transporter member 12 (Glucose transporter type 12) (GLUT-12)
Q32NQ8	CGI_10001223	RING finger protein 10
Q32PI8	CGI_10027880	28S ribosomal protein S27, mitochondrial (MRP-S27) (S27mt)
Q39575	CGI_10024919	Dynein gamma chain, flagellar outer arm
Q3HNM7	CGI_10006374	Protein inscuteable homolog (Minsc)
Q3MHR7	CGI_10018003	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)
Q3SWZ4	CGI_10023759	Exosome complex component RRP45 (Exosome component 9)
Q3T0J9	CGI_10015344	Guanine nucleotide-binding protein-like 3-like protein
Q3ZBX6	CGI_10008650	39S ribosomal protein L3, mitochondrial (L3mt) (MRP-L3)
Q498J9	CGI_10008012	Metallo-beta-lactamase domain-containing protein 1 (EC 3.-.-.-)
Q498T3	CGI_10019481	Inhibitor of growth protein 3
Q4R7X9	CGI_10000485	Protein LMBR1L
Q4R8M9	CGI_10025273	Gametocyte-specific factor 1 (Protein FAM112B)
Q4V348	CGI_10023537	Zinc finger protein 658B
Q4V7A9	CGI_10026497	Uncharacterized protein KIAA0895-like
Q504Y3	CGI_10012962	Zinc finger CW-type PWWP domain protein 2
Q505D1	CGI_10028081	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK)
Q52KJ8	CGI_10000428	Methionine-R-sulfoxide reductase B1 (MsrB1) (EC 1.8.4.-) (Selenoprotein X) (SelX)
Q53HV7	CGI_10028697	Single-strand selective monofunctional uracil DNA glycosylase (EC 3.2.2.-)
Q54X15	CGI_10018110	Type-2 histone deacetylase 1 (DdHdaD) (EC 3.5.1.98)
Q55E58	CGI_10007718	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)
Q58CU2	CGI_10008780	Band 4.1-like protein 5
Q5F339	CGI_10004088	Cytochrome c-type heme lyase (CCHL) (EC 4.4.1.17) (Holocytochrome c-type synthase)
Q5H8A4	CGI_10023492	GPI ethanolamine phosphate transferase 2 (EC 2.-.-.-) (GPI7 homolog) (hGPI7) (Phosphatidylinositol-glycan biosynthesis class G protein) (PIG-G)
Q5M7P5	CGI_10019899	Nucleolar protein 6
Q5QQ53	CGI_10002413	Xylosyltransferase oxt (EC 2.4.2.26) (Peptide O-xylosyltransferase)
Q5QQ53	CGI_10002414	Xylosyltransferase oxt (EC 2.4.2.26) (Peptide O-xylosyltransferase)
Q5R9C1	CGI_10022832	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3 (6PF-2-K/Fru-2,6-P2ase 3) (PFK/FBPase 3) (6PF-2-K/Fru-2,6-P2ase brain/placenta-type isozyme) [Includes: 6-phosphofructo-2-kinase (EC 2.7.1.105); Fructose-2,6-bisphosphatase (EC 3.1.3.46)]
