Q52KJ8	CGI_10000428
Q4R7X9	CGI_10000485
Q15369	CGI_10000789
Q93034	CGI_10001200
Q32NQ8	CGI_10001223
Q9D4W2	CGI_10001227
Q9R1R2	CGI_10001358
Q9HBY0	CGI_10001451
Q08DZ8	CGI_10001721
P11276	CGI_10001789
P28271	CGI_10001851
B0S733	CGI_10001930
P42765	CGI_10002160
Q6GPV5	CGI_10002232
Q5QQ53	CGI_10002413
Q5QQ53	CGI_10002414
Q9U1M8	CGI_10002584
Q01831	CGI_10002688
P53007	CGI_10002774
Q96MM6	CGI_10002794
Q6KCD5	CGI_10002811
Q969S3	CGI_10003069
Q90Y35	CGI_10003071
A7YWD2	CGI_10003141
Q9DBR7	CGI_10003201
P49139	CGI_10003308
Q9Y2G3	CGI_10003316
Q9H3S7	CGI_10003400
P70207	CGI_10003458
O14981	CGI_10003467
Q8CGS4	CGI_10003741
Q5F339	CGI_10004088
Q8WV93	CGI_10004178
Q95ZJ1	CGI_10004335
Q8K0U4	CGI_10004348
Q2KIB5	CGI_10004548
Q09621	CGI_10004573
O43826	CGI_10004606
P62597	CGI_10004647
Q8TF62	CGI_10004707
E1C1R4	CGI_10004725
P50429	CGI_10004766
Q8BW94	CGI_10004785
P0C8Z3	CGI_10005033
Q9ULV0	CGI_10005126
Q8R4E0	CGI_10005133
Q9NZW4	CGI_10005214
Q9Y4A5	CGI_10005249
Q7TPD0	CGI_10005253
Q13490	CGI_10005392
B4U7S7	CGI_10005632
P17439	CGI_10005801
P05455	CGI_10005904
B5X2B8	CGI_10005915
Q74GW7	CGI_10005980
Q61220	CGI_10006105
Q96NN9	CGI_10006300
P51947	CGI_10006326
Q3HNM7	CGI_10006374
Q9UHJ3	CGI_10006381
O60306	CGI_10006403
A6QR44	CGI_10006425
Q9NYQ6	CGI_10006474
B1H1P9	CGI_10006634
O29230	CGI_10006664
Q5W0Z9	CGI_10006703
Q6NVR9	CGI_10006763
Q60HD5	CGI_10006854
P52590	CGI_10006924
Q12996	CGI_10006975
P84798	CGI_10006996
Q8BJ34	CGI_10007033
P22292	CGI_10007140
Q8K4K5	CGI_10007347
Q5T1B0	CGI_10007458
Q8R080	CGI_10007485
O75533	CGI_10007640
P35398	CGI_10007708
Q55E58	CGI_10007718
Q91YN5	CGI_10007751
Q8UVC3	CGI_10007801
Q498J9	CGI_10008012
O08550	CGI_10008103
O14832	CGI_10008109
P13666	CGI_10008403
Q5ZM35	CGI_10008613
Q3ZBX6	CGI_10008650
Q99KW9	CGI_10008651
Q86WZ0	CGI_10008667
Q5RBL1	CGI_10008716
Q58CU2	CGI_10008780
Q9R1P4	CGI_10008810
Q16956	CGI_10008834
Q6DJI8	CGI_10008836
Q5U550	CGI_10009056
O54701	CGI_10009078
A6QQ68	CGI_10009117
Q8N448	CGI_10009129
Q99973	CGI_10009375
Q8K2Y0	CGI_10009492
Q9NQV6	CGI_10009638
Q9CQ44	CGI_10009639
Q7SY52	CGI_10009786
Q63424	CGI_10009837
Q8BV79	CGI_10009891
Q9Z1J2	CGI_10010191
O43913	CGI_10010442
Q9CX99	CGI_10010584
A0NGI1	CGI_10010648
Q7ZVA6	CGI_10010714
B0S5N4	CGI_10010795
Q5RB35	CGI_10010809
O75665	CGI_10010882
P38942	CGI_10010890
Q94BZ1	CGI_10010913
P35626	CGI_10010914
Q8BK67	CGI_10011007
Q8NDA8	CGI_10011064
Q8BGF9	CGI_10011288
Q92628	CGI_10011359
Q9UBB5	CGI_10011651
Q6PEE2	CGI_10011720
Q9UII5	CGI_10011721
A4IF87	CGI_10011812
Q922B6	CGI_10011877
Q99683	CGI_10011917
Q9UP83	CGI_10012067
Q8WXX0	CGI_10012096
Q14202	CGI_10012126
Q28H54	CGI_10012169
Q920R0	CGI_10012236
Q24307	CGI_10012324
Q96JL9	CGI_10012354
Q14186	CGI_10012373
P10351	CGI_10012473
Q92609	CGI_10012476
Q92541	CGI_10012696
Q920N2	CGI_10012824
O08839	CGI_10012930
Q504Y3	CGI_10012962
Q8TDX9	CGI_10013037
Q5TB80	CGI_10013098
O75417	CGI_10013103
Q5RGJ8	CGI_10013374
Q14527	CGI_10013442
Q8WV92	CGI_10013614
Q91YJ2	CGI_10013637
P60924	CGI_10013666
A6NHR9	CGI_10013732
Q8BYF6	CGI_10013770
P47989	CGI_10013781
Q7SY73	CGI_10013782
Q1LY77	CGI_10013795
O00410	CGI_10013799
Q8UVC3	CGI_10013945
Q06441	CGI_10013991
B0W2S0	CGI_10014051
P09487	CGI_10014131
Q5RA62	CGI_10014259
O75891	CGI_10014314
Q9R0D8	CGI_10014377
O35134	CGI_10014460
Q8IQC1	CGI_10014583
O46037	CGI_10014632
Q80ZJ7	CGI_10014713
O75445	CGI_10014850
Q9UKD2	CGI_10014965
Q5RG45	CGI_10015025
P10076	CGI_10015140
Q8CIV2	CGI_10015150
Q6P1C1	CGI_10015211
Q96KG9	CGI_10015257
Q3T0J9	CGI_10015344
Q9P2D0	CGI_10015408
Q9BYT1	CGI_10015580
Q9BUJ2	CGI_10015594
Q5RBN9	CGI_10015640
Q2KIU7	CGI_10015644
Q6PDJ1	CGI_10015774
Q13136	CGI_10015818
P08183	CGI_10015978
O61577	CGI_10016028
Q8BRH4	CGI_10016397
Q9EPZ8	CGI_10016416
Q17LW0	CGI_10016431
P49815	CGI_10016453
Q5T3U5	CGI_10016527
Q92604	CGI_10017167
Q75QN2	CGI_10017467
