A0JP70	XM_022463201.1	WD repeat-containing protein 90-like
A1A4L0	XM_022450815.1	sorting nexin-4-like
A1E2V0	XM_022487297.1	uncharacterized LOC111136442
A1E2V0	XM_022487293.1	uncharacterized LOC111136442
A1E2V0	XM_022487296.1	uncharacterized LOC111136442
A1E2V0	XM_022487295.1	uncharacterized LOC111136442
A1E2V0	XM_022487294.1	uncharacterized LOC111136442
A1E2V0	XM_022487298.1	uncharacterized LOC111136442
A1L253	XM_022458464.1	protein FAM149B1-like
A1L253	XM_022458466.1	protein FAM149B1-like
A1L253	XM_022458461.1	protein FAM149B1-like
A1L253	XM_022458460.1	protein FAM149B1-like
A1L253	XM_022458469.1	protein FAM149B1-like
A1L253	XM_022458462.1	protein FAM149B1-like
A1L253	XM_022458463.1	protein FAM149B1-like
A1L253	XM_022458468.1	protein FAM149B1-like
A1L253	XM_022458470.1	protein FAM149B1-like
A1L253	XM_022458467.1	protein FAM149B1-like
A1Z9A8	XM_022486980.1	protein PTCD3 homolog
A1Z9A8	XM_022486979.1	protein PTCD3 homolog
A2A559	XM_022450118.1	post-GPI attachment to proteins factor 3-like
A2A559	XM_022450118.1	post-GPI attachment to proteins factor 3-like
A2A559	XM_022450118.1	post-GPI attachment to proteins factor 3-like
A2A559	XM_022450118.1	post-GPI attachment to proteins factor 3-like
A2A891	XM_022485152.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485158.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485157.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485152.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485158.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485157.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485159.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485155.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485159.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485152.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485155.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485158.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485157.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485159.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485160.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485154.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485160.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485153.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485154.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485160.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485154.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485155.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485153.1	calmodulin-binding transcription activator 1-like
A2A891	XM_022485153.1	calmodulin-binding transcription activator 1-like
A2AHJ4	XM_022436597.1	bromodomain and WD repeat-containing protein 3-like
A2AHJ4	XM_022436599.1	bromodomain and WD repeat-containing protein 3-like
A2AHJ4	XM_022436597.1	bromodomain and WD repeat-containing protein 3-like
A2AHJ4	XM_022436599.1	bromodomain and WD repeat-containing protein 3-like
A2AIV8	XM_022459926.1	caspase recruitment domain-containing protein 11-like
A2AIV8	XM_022459921.1	caspase recruitment domain-containing protein 11-like
A2AIV8	XM_022459924.1	caspase recruitment domain-containing protein 11-like
A2AIV8	XM_022459925.1	caspase recruitment domain-containing protein 11-like
