C22142	171	941	C22142	GLEAN	mRNA	330	1695	1	+	.	ID=CGI_10000072;	612
C22290	360	934	C22290	GLEAN	mRNA	825	1649	1	-	.	ID=CGI_10000077;	110
C22638	1238	1750	C22638	GLEAN	mRNA	38	1762	1	+	.	ID=CGI_10000085;	512
C23432	1133	1839	C23432	GLEAN	mRNA	373	1948	1	-	.	ID=CGI_10000125;	706
C24030	1072	1617	C24030	GLEAN	mRNA	1032	1635	0.998023	+	.	ID=CGI_10000170;	545
C24030	1897	2459	C24030	GLEAN	mRNA	1794	2168	1	+	.	ID=CGI_10000171;	271
C24420	1702	2584	C24420	GLEAN	mRNA	380	1819	1	+	.	ID=CGI_10000195;	117
C24556	1004	1570	C24556	GLEAN	mRNA	51	1955	1	-	.	ID=CGI_10000198;	566
C24962	1290	2125	C24962	GLEAN	mRNA	98	2520	0.999624	+	.	ID=CGI_10000219;	835
C25572	1324	2896	C25572	GLEAN	mRNA	1625	2196	0.999994	-	.	ID=CGI_10000249;	572
C25838	2240	2876	C25838	GLEAN	mRNA	55	2901	1	+	.	ID=CGI_10000268;	636
C26102	2428	3255	C26102	GLEAN	mRNA	259	3556	1	+	.	ID=CGI_10000284;	827
C26532	2725	3517	C26532	GLEAN	mRNA	1020	3319	1	-	.	ID=CGI_10000313;	594
C26534	1048	3647	C26534	GLEAN	mRNA	2594	2965	0.481188	-	.	ID=CGI_10000312;	372
C27378	1217	2140	C27378	GLEAN	mRNA	171	4280	0.999936	+	.	ID=CGI_10000356;	923
C27712	2957	3477	C27712	GLEAN	mRNA	1772	3977	0.56134	+	.	ID=CGI_10000379;	520
C27712	3660	4486	C27712	GLEAN	mRNA	1772	3977	0.56134	+	.	ID=CGI_10000379;	317
C27762	3001	4604	C27762	GLEAN	mRNA	34	4931	0.999952	-	.	ID=CGI_10000384;	1603
C28760	2334	3033	C28760	GLEAN	mRNA	796	4602	1	+	.	ID=CGI_10000466;	699
C28760	3507	4550	C28760	GLEAN	mRNA	796	4602	1	+	.	ID=CGI_10000466;	1043
C28982	4574	5405	C28982	GLEAN	mRNA	756	6077	0.999998	-	.	ID=CGI_10000485;	831
C29222	1189	1924	C29222	GLEAN	mRNA	262	3974	0.841405	-	.	ID=CGI_10000504;	735
C29222	1963	2566	C29222	GLEAN	mRNA	262	3974	0.841405	-	.	ID=CGI_10000504;	603
C29320	1014	2927	C29320	GLEAN	mRNA	1206	6434	0.544851	+	.	ID=CGI_10000520;	1722
C29320	3649	4432	C29320	GLEAN	mRNA	1206	6434	0.544851	+	.	ID=CGI_10000520;	783
C29320	4580	5247	C29320	GLEAN	mRNA	1206	6434	0.544851	+	.	ID=CGI_10000520;	667
C29474	4688	6290	C29474	GLEAN	mRNA	2236	5798	0.999993	-	.	ID=CGI_10000537;	1110
C29576	1523	2297	C29576	GLEAN	mRNA	1854	2093	0.999984	-	.	ID=CGI_10000547;	240
C29848	2544	3183	C29848	GLEAN	mRNA	458	3754	1	+	.	ID=CGI_10000573;	639
C29902	3966	7094	C29902	GLEAN	mRNA	4137	5735	0.69447	-	.	ID=CGI_10000577;	1599
C30044	1593	2564	C30044	GLEAN	mRNA	1152	5847	0.999938	+	.	ID=CGI_10000590;	971
C30044	5350	5894	C30044	GLEAN	mRNA	1152	5847	0.999938	+	.	ID=CGI_10000590;	497
C30118	3311	6744	C30118	GLEAN	mRNA	633	6001	0.543283	+	.	ID=CGI_10000594;	2690
C30186	4151	5083	C30186	GLEAN	mRNA	3872	5098	1	-	.	ID=CGI_10000605;	932
C30282	1342	1909	C30282	GLEAN	mRNA	873	3481	1	-	.	ID=CGI_10000611;	567
C30500	1949	2667	C30500	GLEAN	mRNA	2155	6921	0.993024	-	.	ID=CGI_10000629;	513
C30500	4439	7181	C30500	GLEAN	mRNA	2155	6921	0.993024	-	.	ID=CGI_10000629;	2482
C30504	1348	2342	C30504	GLEAN	mRNA	145	3526	1	+	.	ID=CGI_10000630;	994
C30584	2447	4186	C30584	GLEAN	mRNA	2281	7150	1	+	.	ID=CGI_10000639;	1739
C30632	1918	3301	C30632	GLEAN	mRNA	805	4646	0.999997	+	.	ID=CGI_10000645;	1383
C30852	3503	4084	C30852	GLEAN	mRNA	2025	3555	1	+	.	ID=CGI_10000682;	52
C30852	3503	4084	C30852	GLEAN	mRNA	3795	7209	1	+	.	ID=CGI_10000683;	290
C30852	4593	5104	C30852	GLEAN	mRNA	3795	7209	1	+	.	ID=CGI_10000683;	511
C30958	3556	4139	C30958	GLEAN	mRNA	486	6204	0.650923	-	.	ID=CGI_10000690;	583
C31060	2305	2816	C31060	GLEAN	mRNA	317	6452	1	-	.	ID=CGI_10000697;	511
C31060	3505	4006	C31060	GLEAN	mRNA	317	6452	1	-	.	ID=CGI_10000697;	501
C31130	3282	5898	C31130	GLEAN	mRNA	1615	7443	0.999998	-	.	ID=CGI_10000707;	2616
C31746	2066	5411	C31746	GLEAN	mRNA	4304	6781	1	+	.	ID=CGI_10000788;	1108
C31746	6479	7967	C31746	GLEAN	mRNA	4304	6781	1	+	.	ID=CGI_10000788;	302
